Author,Year,Mode,Events_Drug,Pop_Drug,Events_Placebo,Pop_Placebo,Borst,Xu,Corona,Calof,Haddad
Amory,2004,injection,1,24,0,24,yes,,yes,yes,yes
Amory,2002,,1,10,0,12,,,,,yes
Aversa,2010,injection,0,40,1,10,yes,yes,yes,,
Aversa,2010,,0,42,1,10,,,yes,,
Basaria,2010,gel,25,106,5,103,yes,yes,yes,,
Behre,2012,,1,183,0,179,,,yes,,
Blackman,2002,,,21,,17,,,,yes,
Borst,2014,injection,0,31,1,29,yes,,,,
Boyanov,2003,,,24,,24,,,,yes,
Brockenbrough,2006,gel,9,19,9,21,yes,,yes,,
Caminiti,2009,injection,2,35,1,35,yes,yes,,,
Chapman,2009,oral,1,11,1,12,yes,yes,yes,,
Copenhagen,1986,oral,16,134,5,87,yes,yes,yes,,yes
Crawford,2003,,,18,,16,,,,yes,
Drinka,1995,,0,8,0,10,,,,yes,
Emmelot-Vonk,2008,oral,8,120,3,117,yes,yes,,,
English,2000,patch,2,25,0,25,yes,yes,yes,yes,yes
Ferrando,2002,injection,0,7,0,5,yes,,,yes,
Glintborg,2013,gel,0,20,0,18,yes,,,,
Hackett,2013,injection,1,97,0,102,yes,,,,
Hall,1996,injection,0,17,2,18,yes,yes,yes,yes,
Hildreth,2013,gel,3,96,10,47,yes,,yes,,
Ho,2012,injection,1,60,1,60,yes,yes,yes,,
Hoyos,2012,injection,1,33,0,34,yes,yes,,,
Jones,2011,gel,1,108,2,112,yes,yes,yes,,
Kalinchenko,2010,injection,0,113,2,71,yes,yes,yes,,
Kaufman,2011,gel,11,234,0,40,yes,yes,yes,,
Kenny,2010,gel,14,69,19,62,yes,,,,
Kenny,2004,injection,0,6,1,5,yes,,yes,yes,
Kenny,2002,,,34,,33,,,,yes,
Legros,2009,oral,1,237,0,79,yes,yes,yes,,
Malkin,2006,patch,4,37,4,39,yes,,yes,,
Marin,1993,gel,1,11,0,10,yes,yes,,yes,
Merza,2006,patch,0,20,1,19,yes,,,,
Morley,1993,,,8,,6,,,,yes,
Nair,2006,patch,7,27,6,31,yes,,yes,,
Reid,1996,,,15,,15,,,,yes,
Seidman,2001,,0,13,1,17,,,yes,,
Sheffield-Moore,2011,injection,0,8,0,8,yes,,,,
Sih,1997,injection,1,17,1,15,yes,yes,yes,yes,
Simon,2001,,0,6,0,6,,,,yes,
Snyder,2001,patch,9,54,5,54,yes,yes,yes,yes,yes
Spitzer,2012,gel,4,70,2,70,yes,yes,,,
Srinivas-Shankar,2010,gel,5,138,2,136,yes,yes,yes,,
Steidle,2003,,1,106,0,99,,,yes,yes,
Svartberg,2008,injection,1,19,0,19,yes,yes,yes,,
Svartberg,2004,injection,0,15,1,14,yes,yes,yes,,yes
Tan,2013,injection,2,56,2,58,yes,,,,
Tenover,1992,,,13,,13,,,,yes,
Wittert,2003,,,39,,37,,,,yes,
